n_estimators,train-mlogloss-mean,train-mlogloss-std,test-mlogloss-mean,test-mlogloss-std
128,0.5378813333333334,0.0007395531683988932,0.597698,0.0032237856628504085
129,0.5372473333333333,0.0007143931379538347,0.5975493333333334,0.003283906650452892
130,0.5366803333333333,0.0006774788229572447,0.5973700000000001,0.0033943206487700613
131,0.5362083333333333,0.0008333423999506703,0.597201,0.003333655751073657
132,0.5356633333333333,0.0008270914231342504,0.597097,0.0033518061797583785
133,0.5351629999999999,0.0008458277996535058,0.5969963333333334,0.0033600409058356187
134,0.5347013333333334,0.0008655331048293603,0.5969746666666667,0.0033484189635640677
135,0.5342426666666666,0.0008630883822388052,0.596905,0.0034114367452243227
136,0.5337013333333332,0.0008436212947104272,0.5968246666666667,0.0034260274695662157
137,0.5332546666666667,0.0008578074116930733,0.5967169999999999,0.0034272138343947526
138,0.532756,0.0008161094697812476,0.5966583333333334,0.003450442032873769
139,0.5323319999999999,0.000828350569907878,0.5966033333333334,0.0034181677678090812
140,0.531978,0.000811374553869344,0.5964986666666666,0.0034451163824882306
141,0.5315713333333334,0.0008050723915000057,0.596403,0.003453096098672407
142,0.5311223333333334,0.0007471119208138787,0.5962296666666667,0.0034533033782484846
143,0.5306093333333334,0.0006951164570695068,0.596151,0.0035088519489998066
144,0.5302906666666667,0.0006995409605988622,0.596092,0.003540491773751213
145,0.5299136666666666,0.0006916792769934665,0.5959906666666667,0.003495651520897829
146,0.5294803333333333,0.0006565690282741723,0.596001,0.003513512867013123
147,0.5290926666666667,0.0006032723726108909,0.5959226666666667,0.003487799720294887
148,0.528718,0.0006266264171471399,0.5958323333333334,0.0035995455577367374
149,0.5282273333333333,0.0005577779327135547,0.5958316666666666,0.0035241313192835924
150,0.5278393333333333,0.000522634565340704,0.5957596666666667,0.0035311163799694686
151,0.5274476666666666,0.0005433932482302837,0.595659,0.0035174544773173737
152,0.5270469999999999,0.0006318454452369586,0.5955926666666667,0.0034293879272481783
153,0.5266073333333333,0.0006391042342390323,0.5955223333333334,0.003409410147746326
154,0.5261663333333333,0.0006028721994659466,0.595419,0.0033492668849565725
155,0.5256663333333332,0.0006527420794021615,0.5953913333333333,0.0032536978279421674
156,0.5252640000000001,0.0007113836283375115,0.5953156666666667,0.0032269314973963617
157,0.5248463333333334,0.0006802550175403852,0.5952486666666666,0.0032461047768397922
158,0.5244666666666666,0.0007055647068522992,0.595109,0.0032263432344787216
159,0.524058,0.0007444608787572631,0.5950006666666666,0.0032142574397345746
160,0.5236583333333334,0.0006821301602740773,0.5949220000000001,0.003186055973561491
161,0.5232443333333333,0.0006549413883869887,0.5948570000000001,0.003204641633630819
162,0.522878,0.0006799034245145706,0.5947953333333333,0.0032357385899083858
163,0.52243,0.0006382308882110724,0.5946826666666667,0.003275685407497025
164,0.521939,0.0007228042611938643,0.5946196666666667,0.003225527381512821
165,0.5215056666666666,0.0006790318271054945,0.594552,0.0032554991424767147
166,0.521146,0.000760139899404523,0.5945410000000001,0.0031837287363509375
167,0.520762,0.0008790839929532482,0.594544,0.0032072275670221055
